# This file contains the energy consumption and yields of your device "aroTHERM plus" with serial 21222500100211330001005519N3 exported at 2024-10-02 10:11:11.
# All values are given in Watt hours (Wh)
DateTime;ConsumedElectricalEnergy:Heating;ConsumedElectricalEnergy:DomesticHotWater;HeatGenerated:Heating;HeatGenerated:DomesticHotWater;EarnedEnvironmentEnergy:Heating;EarnedEnvironmentEnergy:DomesticHotWater;ConsumedElectricalEnergy:Heating;ConsumedElectricalEnergy:DomesticHotWater;HeatGenerated:Heating;HeatGenerated:DomesticHotWater;EarnedEnvironmentEnergy:Heating;EarnedEnvironmentEnergy:DomesticHotWater;ConsumedElectricalEnergy:Heating;ConsumedElectricalEnergy:DomesticHotWater;HeatGenerated:Heating;HeatGenerated:DomesticHotWater;EarnedEnvironmentEnergy:Heating;EarnedEnvironmentEnergy:DomesticHotWater;ConsumedElectricalEnergy:Heating;ConsumedElectricalEnergy:DomesticHotWater;HeatGenerated:Heating;HeatGenerated:DomesticHotWater;EarnedEnvironmentEnergy:Heating;EarnedEnvironmentEnergy:DomesticHotWater;ConsumedElectricalEnergy:Heating;ConsumedElectricalEnergy:DomesticHotWater;HeatGenerated:Heating;HeatGenerated:DomesticHotWater;EarnedEnvironmentEnergy:Heating;EarnedEnvironmentEnergy:DomesticHotWater;ConsumedElectricalEnergy:Heating;ConsumedElectricalEnergy:DomesticHotWater;HeatGenerated:Heating;HeatGenerated:DomesticHotWater;EarnedEnvironmentEnergy:Heating;EarnedEnvironmentEnergy:DomesticHotWater
2023-07-12 00:00:00;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-07-13 00:00:00;1000;1000;1000;5000;0;4000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-07-14 00:00:00;0;1779.4;0;7558.9;0;5779.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-07-15 00:00:00;0;220.6;0;441.1;0;220.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-07-16 00:00:00;0;2000;0;8000;0;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-07-17 00:00:00;0;314.4;0;2943.1;0;2628.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-07-18 00:00:00;0;1685.6;0;6056.9;0;4371.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-07-19 00:00:00;313.5;1000;313.5;5000;0;4000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-07-20 00:00:00;686.5;2000;686.5;6000;0;4000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-07-21 00:00:00;0;1000;0;5000;0;4000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-07-22 00:00:00;0;1000;0;2627.2;0;1627.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-07-23 00:00:00;1000;1000;1000;4372.8;0;3372.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-07-24 00:00:00;0;1094;0;3828.8;0;2734.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-07-25 00:00:00;0;1834.3;0;6420;0;4585.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-07-26 00:00:00;0;2071.7;0;7751.2;0;5679.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-07-27 00:00:00;1000;1000;1000;6000;0;5000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-07-28 00:00:00;0;2000;0;7000;0;5000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-07-29 00:00:00;0;2000;0;6000;0;4000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-07-30 00:00:00;0;1000;0;5000;0;4000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-07-31 00:00:00;1000;1000;1000;3000;0;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2023-08-01 00:00:00;;;;;;;0;1000;0;6000;0;5000;;;;;;;;;;;;;;;;;;;;;;;;
2023-08-02 00:00:00;;;;;;;0;2000;0;6000;0;4000;;;;;;;;;;;;;;;;;;;;;;;;
