# This file contains the energy consumption and yields of your device "aroTHERM plus" with serial 21222500100211330001005519N3 exported at 2024-10-02 10:16:24.
# All values are given in Watt hours (Wh)
DateTime;ConsumedElectricalEnergy:Heating;ConsumedElectricalEnergy:DomesticHotWater;HeatGenerated:Heating;HeatGenerated:DomesticHotWater;EarnedEnvironmentEnergy:Heating;EarnedEnvironmentEnergy:DomesticHotWater;ConsumedElectricalEnergy:Heating;ConsumedElectricalEnergy:DomesticHotWater;HeatGenerated:Heating;HeatGenerated:DomesticHotWater;EarnedEnvironmentEnergy:Heating;EarnedEnvironmentEnergy:DomesticHotWater;ConsumedElectricalEnergy:Heating;ConsumedElectricalEnergy:DomesticHotWater;HeatGenerated:Heating;HeatGenerated:DomesticHotWater;EarnedEnvironmentEnergy:Heating;EarnedEnvironmentEnergy:DomesticHotWater;ConsumedElectricalEnergy:Heating;ConsumedElectricalEnergy:DomesticHotWater;HeatGenerated:Heating;HeatGenerated:DomesticHotWater;EarnedEnvironmentEnergy:Heating;EarnedEnvironmentEnergy:DomesticHotWater;ConsumedElectricalEnergy:Heating;ConsumedElectricalEnergy:DomesticHotWater;HeatGenerated:Heating;HeatGenerated:DomesticHotWater;EarnedEnvironmentEnergy:Heating;EarnedEnvironmentEnergy:DomesticHotWater;ConsumedElectricalEnergy:Heating;ConsumedElectricalEnergy:DomesticHotWater;HeatGenerated:Heating;HeatGenerated:DomesticHotWater;EarnedEnvironmentEnergy:Heating;EarnedEnvironmentEnergy:DomesticHotWater;ConsumedElectricalEnergy:Heating;ConsumedElectricalEnergy:DomesticHotWater;HeatGenerated:Heating;HeatGenerated:DomesticHotWater;EarnedEnvironmentEnergy:Heating;EarnedEnvironmentEnergy:DomesticHotWater;ConsumedElectricalEnergy:Heating;ConsumedElectricalEnergy:DomesticHotWater;HeatGenerated:Heating;HeatGenerated:DomesticHotWater;EarnedEnvironmentEnergy:Heating;EarnedEnvironmentEnergy:DomesticHotWater;ConsumedElectricalEnergy:Heating;ConsumedElectricalEnergy:DomesticHotWater;HeatGenerated:Heating;HeatGenerated:DomesticHotWater;EarnedEnvironmentEnergy:Heating;EarnedEnvironmentEnergy:DomesticHotWater;ConsumedElectricalEnergy:Heating;ConsumedElectricalEnergy:DomesticHotWater;HeatGenerated:Heating;HeatGenerated:DomesticHotWater;EarnedEnvironmentEnergy:Heating;EarnedEnvironmentEnergy:DomesticHotWater
2024-01-01 00:00:00;;;;;;;6000;4000;25000;11000;19000;7000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-02 00:00:00;;;;;;;5000;4000;20000;11000;15000;7000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-03 00:00:00;;;;;;;6000;3000;24000;10000;18000;7000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-04 00:00:00;;;;;;;8000;4000;31999.7;12000;23999.7;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-05 00:00:00;;;;;;;9000;6000;34999.5;16000;25999.5;10000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-06 00:00:00;;;;;;;10000;4000;40000.8;11000;30000.8;7000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-07 00:00:00;;;;;;;13699.6;4000;49398.9;10000;35699.3;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-08 00:00:00;;;;;;;13000.1;4000;48000.3;11000;35000.2;7000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-09 00:00:00;;;;;;;14300.3;7699.4;50600.8;20398.9;36300.6;12699.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-10 00:00:00;;;;;;;17000;3300.6;61000;9601.1;44000;6300.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-11 00:00:00;;;;;;;12699.7;5000;46699.7;13000;34000;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-12 00:00:00;;;;;;;9999.9;5000;37999.8;13000;27999.9;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-13 00:00:00;;;;;;;14000.1;5000;50000.2;12000;36000.1;7000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-14 00:00:00;;;;;;;11999.9;3000;46699.2;10000;34699.3;7000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-15 00:00:00;;;;;;;13300.4;6000;48300.5;15000;35000.2;9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-16 00:00:00;;;;;;;16047.5;5000;52696.1;13000;36648.6;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-17 00:00:00;;;;;;;16340.6;6000;54069.2;14000;37728.6;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-18 00:00:00;;;;;;;23000;5000;67000;12000;44000;7000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-19 00:00:00;;;;;;;19000;6000;60000;15000;41000;9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-20 00:00:00;;;;;;;10611.9;4000;40223.9;11000;29611.9;7000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-21 00:00:00;;;;;;;4000;4000;17000;13000;13000;9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-22 00:00:00;;;;;;;6000;3000;23000;10000;17000;7000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-23 00:00:00;;;;;;;5000;5000;20000;14000;15000;9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-24 00:00:00;;;;;;;5000;5000;19000;14000;14000;9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-25 00:00:00;;;;;;;3000;2000;13611.9;8000;10611.9;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-26 00:00:00;;;;;;;7000;5000;27387.9;13000;20387.9;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-27 00:00:00;;;;;;;9000;3388.1;33612.1;8776;24612.1;5387.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-28 00:00:00;;;;;;;5388.1;4611.9;22388.1;15224;17000;10612.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-29 00:00:00;;;;;;;3611.9;3000;12999.7;11000;9387.8;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-30 00:00:00;;;;;;;6388.1;5000;26388.2;13000;20000.2;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-01-31 00:00:00;;;;;;;7611.9;4000;27612.1;12000;20000.1;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-02-01 00:00:00;;;;;;;;;;;;;7388.1;4000;29387.9;11000;21999.9;7000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024-02-02 00:00:00;;;;;;;;;;;;;4611.9;4000;17611.9;13000;12999.9;9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
