# This file contains the energy consumption and yields of your device "aroTHERM plus" with serial 21222500100211330001005519N3 exported at 2026-01-07 22:24:13.
# All values are given in Watt hours (Wh)
DateTime;ConsumedElectricalEnergy:Heating;ConsumedElectricalEnergy:DomesticHotWater;HeatGenerated:Heating;HeatGenerated:DomesticHotWater;EarnedEnvironmentEnergy:Heating;EarnedEnvironmentEnergy:DomesticHotWater
2025-01-01 00:00:00;12017.2;0;52372.5;0;40355.3;0
2025-01-02 00:00:00;18658.6;3000;62654.8;10000;43996.2;7000
2025-01-03 00:00:00;19337.7;6000;63013.2;14000;43675.5;8000
2025-01-04 00:00:00;17337.8;3000;59014.1;7000;41676.3;4000
2025-01-05 00:00:00;8665.3;3000;33668.7;9000;25003.5;6000
2025-01-06 00:00:00;11010.7;3000;43348.5;9000;32337.7;6000
2025-01-07 00:00:00;11989.3;4000;41675.1;10000;29685.8;6000
2025-01-08 00:00:00;17686.8;3000;60676.1;8000;42989.4;5000
2025-01-09 00:00:00;18337.7;4000;60700;11000;42362.2;7000
2025-01-10 00:00:00;21337.7;6000;69012.8;12000;47675.1;6000
2025-01-11 00:00:00;16637.3;3000;55612.4;8000;38975.1;5000
2025-01-12 00:00:00;11038.6;4000;44414.9;12000;33376.3;8000
2025-01-13 00:00:00;10961.4;2000;43884.7;7000;32923.3;5000
2025-01-14 00:00:00;7000;3000;30714.6;10000;23714.6;7000
2025-01-15 00:00:00;7000;3000;31338.1;9000;24338.1;6000
2025-01-16 00:00:00;9391.1;4000;37729.2;11000;28338.1;7000
2025-01-17 00:00:00;8608.9;5000;34946.8;12000;26337.9;7000
2025-01-18 00:00:00;11067;3000;44404.8;7000;33337.7;4000
2025-01-19 00:00:00;13337.7;3000;49080.5;10000;35742.8;7000
2025-01-20 00:00:00;11337.7;3000;45013.6;8000;33675.8;5000
2025-01-21 00:00:00;11337.8;4000;47013.3;13000;35675.5;9000
2025-01-22 00:00:00;12918.9;4000;50594.9;12000;37676;8000
2025-01-23 00:00:00;13000;3000;52918.8;11000;39918.8;8000
2025-01-24 00:00:00;9000;6000;40337.8;14000;31337.8;8000
2025-01-25 00:00:00;13433;3000;51770.8;8000;38337.8;5000
2025-01-26 00:00:00;11566.7;3000;48675.7;10000;37109;7000
2025-01-27 00:00:00;11109.3;3000;46784.7;9000;35675.4;6000
2025-01-28 00:00:00;9337.9;4000;40013.2;11000;30675.3;7000
2025-01-29 00:00:00;12552.5;3000;51443;9000;38890.5;6000
2025-01-30 00:00:00;14000;3000;53466.7;9000;39466.7;6000
2025-01-31 00:00:00;9000;5000;38927.9;10000;29927.9;5000
2025-02-01 00:00:00;9928.4;2000;40676.5;7000;30748.1;5000
2025-02-02 00:00:00;8071.6;4000;33409.4;10000;25337.8;6000
2025-02-03 00:00:00;7000;3000;31338;10000;24338;7000
2025-02-04 00:00:00;7942.3;2000;33222;8000;25279.7;6000
2025-02-05 00:00:00;9057.5;4000;37733.1;11000;28675.7;7000
2025-02-06 00:00:00;16618.4;4000;59294.4;12000;42676;8000
2025-02-07 00:00:00;14338;6000;55013.9;13000;40675.9;7000
2025-02-08 00:00:00;13337.8;3000;51013.3;9000;37675.5;6000
2025-02-09 00:00:00;14054.5;4000;55163;12000;41108.5;8000
2025-02-10 00:00:00;8651.1;2000;34953.8;5000;26302.7;3000
2025-02-11 00:00:00;1000;0;1000;0;0;0
2025-02-12 00:00:00;1000;0;1000;0;0;0
2025-02-13 00:00:00;1000;0;1000;0;0;0
2025-02-14 00:00:00;1000;0;1000;0;0;0
2025-02-15 00:00:00;382.5;0;382.5;0;0;0
2025-02-16 00:00:00;617.2;0;617.2;0;0;0
2025-02-17 00:00:00;1000;0;1000;0;0;0
2025-02-18 00:00:00;1000;0;1000;0;0;0
2025-02-19 00:00:00;1000;0;1000;0;0;0
2025-02-20 00:00:00;1000;0;1000;0;0;0
2025-02-21 00:00:00;0;0;0;0;0;0
2025-02-22 00:00:00;0;0;0;0;0;0
2025-02-23 00:00:00;0;0;0;0;0;0
2025-02-24 00:00:00;1000;0;1000;0;0;0
2025-02-25 00:00:00;0;0;0;0;0;0
2025-02-26 00:00:00;1000;0;1000;0;0;0
2025-02-27 00:00:00;1000;0;1000;0;0;0
2025-02-28 00:00:00;1000;0;1000;0;0;0
2025-03-01 00:00:00;0;0;0;0;0;0
2025-03-02 00:00:00;1000;0;1000;0;0;0
2025-03-03 00:00:00;1000;0;1000;0;0;0
2025-03-04 00:00:00;1000;0;1000;0;0;0
2025-03-05 00:00:00;1000;0;1000;0;0;0
2025-03-06 00:00:00;1000;0;1000;0;0;0
2025-03-07 00:00:00;0;0;0;0;0;0
2025-03-08 00:00:00;0;0;0;0;0;0
2025-03-09 00:00:00;1000;0;1000;0;0;0
2025-03-10 00:00:00;0;0;0;0;0;0
2025-03-11 00:00:00;0;0;0;0;0;0
2025-07-16 00:00:00;0;0;0;0;0;0
2025-07-17 00:00:00;0;0;0;0;0;0
2025-07-18 00:00:00;0;0;0;0;0;0
2025-07-19 00:00:00;0;0;0;0;0;0
2025-07-20 00:00:00;1000;0;1000;0;0;0
2025-07-21 00:00:00;0;0;0;0;0;0
2025-07-22 00:00:00;0;0;0;0;0;0
2025-07-23 00:00:00;1000;0;2000;1000;1000;1000
2025-07-24 00:00:00;0;1000;0;2000;0;1000
2025-07-25 00:00:00;0;3000;0;11000;0;8000
2025-07-26 00:00:00;0;0;0;0;0;0
2025-07-27 00:00:00;1000;1000;1000;3000;0;2000
2025-07-28 00:00:00;2000;2000;7000;6000;5000;4000
2025-07-29 00:00:00;2000;1000;5000;6000;3000;5000
2025-07-30 00:00:00;0;2000;0;6000;0;4000
2025-07-31 00:00:00;0;2000;0;6000;0;4000
2025-08-01 00:00:00;0;5000;0;14000;0;9000
2025-08-02 00:00:00;1000;0;1000;1000;0;1000
2025-08-03 00:00:00;0;2000;0;8000;0;6000
2025-08-04 00:00:00;0;1000;0;5000;0;4000
2025-08-05 00:00:00;0;2000;0;6000;0;4000
2025-08-06 00:00:00;1000;2000;1000;7000;0;5000
2025-08-07 00:00:00;0;2000;0;7000;0;5000
2025-08-08 00:00:00;0;5000;0;13000;0;8000
2025-08-09 00:00:00;0;0;0;0;0;0
2025-08-10 00:00:00;1000;3000;1000;11000;0;8000
2025-08-11 00:00:00;0;1000;0;6000;0;5000
2025-08-12 00:00:00;0;2000;0;6000;0;4000
2025-08-13 00:00:00;0;1000;0;4000;0;3000
2025-08-14 00:00:00;1000;2000;1000;7000;0;5000
2025-08-15 00:00:00;0;3000;0;9000;0;6000
2025-08-16 00:00:00;0;0;0;0;0;0
2025-08-17 00:00:00;1000;0;1000;0;0;0
2025-08-18 00:00:00;1000;1000;3000;5000;2000;4000
2025-08-19 00:00:00;1000;2000;2000;7000;1000;5000
2025-08-20 00:00:00;1000;2000;3000;5000;2000;3000
2025-08-21 00:00:00;1000;1000;3000;5000;2000;4000
2025-08-22 00:00:00;1000;5000;1000;13000;0;8000
2025-08-23 00:00:00;0;0;0;0;0;0
2025-08-24 00:00:00;0;2000;0;8000;0;6000
2025-08-25 00:00:00;0;2000;0;6000;0;4000
2025-08-26 00:00:00;1000;1000;1000;6000;0;5000
2025-08-27 00:00:00;0;2000;0;7000;0;5000
2025-08-28 00:00:00;0;2000;0;7000;0;5000
2025-08-29 00:00:00;0;6000;0;15000;0;9000
2025-08-30 00:00:00;2000;1000;4000;4000;2000;3000
2025-08-31 00:00:00;0;1000;0;5000;0;4000
2025-09-01 00:00:00;0;3000;0;10000;0;7000
2025-09-02 00:00:00;3000;2000;8000;7000;5000;5000
2025-09-03 00:00:00;0;1000;0;6000;0;5000
2025-09-04 00:00:00;0;2000;0;7000;0;5000
2025-09-05 00:00:00;1000;6000;1000;16000;0;10000
2025-09-06 00:00:00;0;0;0;0;0;0
2025-09-07 00:00:00;0;1000;0;5000;0;4000
2025-09-08 00:00:00;1000;2000;3000;7000;2000;5000
2025-09-09 00:00:00;2000;2000;8000;9000;6000;7000
2025-09-10 00:00:00;0;3000;0;8000;0;5000
2025-09-11 00:00:00;0;2000;1000;8000;1000;6000
2025-09-12 00:00:00;2000;6000;6000;17000;4000;11000
2025-09-13 00:00:00;0;1000;2000;4000;2000;3000
2025-09-14 00:00:00;2000;2000;6000;6000;4000;4000
2025-09-15 00:00:00;1000;3000;7000;11000;6000;8000
2025-09-16 00:00:00;1000;2000;2000;8000;1000;6000
2025-09-17 00:00:00;0;2000;0;8000;0;6000
2025-09-18 00:00:00;1000;2000;1000;8000;0;6000
2025-09-19 00:00:00;0;5000;0;13000;0;8000
2025-09-20 00:00:00;0;1000;0;4000;0;3000
2025-09-21 00:00:00;5000;2000;25000;7000;20000;5000
2025-09-22 00:00:00;8000;3000;30000;11000;22000;8000
2025-09-23 00:00:00;4000;3000;12000;9000;8000;6000
2025-09-24 00:00:00;5000;2000;21000;9000;16000;7000
2025-09-25 00:00:00;3000;3000;11000;8000;8000;5000
2025-09-26 00:00:00;0;6000;1000;16000;1000;10000
2025-09-27 00:00:00;2000;1000;7000;4000;5000;3000
2025-09-28 00:00:00;2000;2000;9000;6000;7000;4000
2025-09-29 00:00:00;4000;3000;15000;11000;11000;8000
2025-09-30 00:00:00;1000;2000;5000;8000;4000;6000
2025-10-01 00:00:00;1000;2000;3000;7000;2000;5000
2025-10-02 00:00:00;0;3000;0;9000;0;6000
2025-10-03 00:00:00;1000;5000;1000;14000;0;9000
2025-10-04 00:00:00;3000;1000;13000;4000;10000;3000
2025-10-05 00:00:00;3000;2000;15000;8000;12000;6000
2025-10-06 00:00:00;2000;3000;9000;9000;7000;6000
2025-10-07 00:00:00;1000;2000;4000;7000;3000;5000
2025-10-08 00:00:00;1000;2000;3000;8000;2000;6000
2025-10-09 00:00:00;2000;3000;10000;10000;8000;7000
2025-10-10 00:00:00;3000;6000;12915.5;16000;9915.5;10000
2025-10-11 00:00:00;4000;1000;18084.5;3000;14084.5;2000
