"# This file contains the energy consumption and yields of your device ""aroTHERM plus"" with serial 21222500100211330001005519N3 exported at 2024-07-13 19:55:28.",,,,,,,,,
# All values are given in Watt hours (Wh),,,,,,,,,
DateTime,,EarnedEnvironmentEnergy:Heating,EarnedEnvironmentEnergy:DomesticHotWater,ConsumedElectricalEnergy:Heating,ConsumedElectricalEnergy:DomesticHotWater,HeatGenerated:Heating,HeatGenerated:DomesticHotWater,COP,COP (sanitised)
2023-07-12 00:00:00,2023-07-12,0,0,0,0,0,0,0,0
2023-07-13 00:00:00,2023-07-13,0,4000,1000,1000,1000,5000,3,3
2023-07-14 00:00:00,2023-07-14,0,5779.4,0,1779.4,0,7558.9,4.248004945,4.248004945
2023-07-15 00:00:00,2023-07-15,0,220.6,0,220.6,0,441.1,1.999546691,1.999546691
2023-07-16 00:00:00,2023-07-16,0,6000,0,2000,0,8000,4,4
2023-07-17 00:00:00,2023-07-17,0,2628.7,0,314.4,0,2943.1,9.361005089,9.361005089
2023-07-18 00:00:00,2023-07-18,0,4371.3,0,1685.6,0,6056.9,3.593319886,3.593319886
2023-07-19 00:00:00,2023-07-19,0,4000,313.5,1000,313.5,5000,4.04529882,4.04529882
2023-07-20 00:00:00,2023-07-20,0,4000,686.5,2000,686.5,6000,2.488926112,2.488926112
2023-07-21 00:00:00,2023-07-21,0,4000,0,1000,0,5000,5,5
2023-07-22 00:00:00,2023-07-22,0,1627.2,0,1000,0,2627.2,2.6272,2.6272
2023-07-23 00:00:00,2023-07-23,0,3372.8,1000,1000,1000,4372.8,2.6864,2.6864
2023-07-24 00:00:00,2023-07-24,0,2734.9,0,1094,0,3828.8,3.499817185,3.499817185
2023-07-25 00:00:00,2023-07-25,0,4585.7,0,1834.3,0,6420,3.499972742,3.499972742
2023-07-26 00:00:00,2023-07-26,0,5679.4,0,2071.7,0,7751.2,3.741468359,3.741468359
2023-07-27 00:00:00,2023-07-27,0,5000,1000,1000,1000,6000,3.5,3.5
2023-07-28 00:00:00,2023-07-28,0,5000,0,2000,0,7000,3.5,3.5
2023-07-29 00:00:00,2023-07-29,0,4000,0,2000,0,6000,3,3
2023-07-30 00:00:00,2023-07-30,0,4000,0,1000,0,5000,5,5
2023-07-31 00:00:00,2023-07-31,0,2000,1000,1000,1000,3000,2,2
2023-08-01 00:00:00,2023-08-01,0,5000,0,1000,0,6000,6,6
2023-08-02 00:00:00,2023-08-02,0,4000,0,2000,0,6000,3,3
2023-08-03 00:00:00,2023-08-03,0,4345.6,1000,1173.1,1000,5518.6,2.99967788,2.99967788
2023-08-04 00:00:00,2023-08-04,0,3654.4,0,826.9,0,4481.4,5.419518684,5.419518684
2023-08-05 00:00:00,2023-08-05,1000,7000,0,3000,1000,10000,3.666666667,3.666666667
2023-08-06 00:00:00,2023-08-06,0,0,1000,0,1000,0,1,1
2023-08-07 00:00:00,2023-08-07,0,0,0,0,0,0,0,0
2023-08-08 00:00:00,2023-08-08,0,0,0,0,0,0,0,0
2023-08-09 00:00:00,2023-08-09,0,0,0,0,0,0,0,0
2023-08-10 00:00:00,2023-08-10,0,0,1000,0,1000,0,1,1
2023-08-11 00:00:00,2023-08-11,0,0,0,0,0,0,0,0
2023-08-12 00:00:00,2023-08-12,0,0,0,0,0,0,0,0
2023-08-13 00:00:00,2023-08-13,0,0,0,0,0,0,0,0
2023-08-14 00:00:00,2023-08-14,0,0,1000,0,1000,0,1,1
2023-08-15 00:00:00,2023-08-15,0,0,0,0,0,0,0,0
2023-08-16 00:00:00,2023-08-16,0,0,0,0,0,0,0,0
2023-08-17 00:00:00,2023-08-17,0,0,0,0,0,0,0,0
2023-08-18 00:00:00,2023-08-18,0,0,1000,0,1000,0,1,1
2023-08-19 00:00:00,2023-08-19,0,6000,0,2000,0,8000,4,4
2023-08-20 00:00:00,2023-08-20,0,5000,0,1000,0,6000,6,6
2023-08-21 00:00:00,2023-08-21,0,5000,0,2000,0,7000,3.5,3.5
2023-08-22 00:00:00,2023-08-22,0,2241,1000,1000,1000,3241,2.1205,2.1205
2023-08-23 00:00:00,2023-08-23,0,3759,0,1000,0,4759,4.759,4.759
2023-08-24 00:00:00,2023-08-24,0,5000,0,2000,0,7000,3.5,3.5
2023-08-25 00:00:00,2023-08-25,0,4000,1000,1000,1000,5000,3,3
2023-08-26 00:00:00,2023-08-26,0,6000,0,2000,0,8000,4,4
2023-08-27 00:00:00,2023-08-27,0,4000,0,2000,0,6000,3,3
2023-08-28 00:00:00,2023-08-28,0,2097.5,0,1032.8,0,3130.3,3.030886909,3.030886909
2023-08-29 00:00:00,2023-08-29,0,6902.5,1000,1967.2,1000,8869.7,3.326267188,3.326267188
2023-08-30 00:00:00,2023-08-30,0,5000,0,2000,0,7000,3.5,3.5
2023-08-31 00:00:00,2023-08-31,0,5000,0,2000,0,7000,3.5,3.5
2023-09-01 00:00:00,2023-09-01,0,3000,1000,1000,1000,4000,2.5,2.5
2023-09-02 00:00:00,2023-09-02,0,5000,0,1000,0,6000,6,6
2023-09-03 00:00:00,2023-09-03,0,2000,0,1000,0,3000,3,3
2023-09-04 00:00:00,2023-09-04,0,2000,0,1000,0,3000,3,3
2023-09-05 00:00:00,2023-09-05,0,5000,1000,1000,1000,6000,3.5,3.5
2023-09-06 00:00:00,2023-09-06,0,1000,0,1000,0,2000,2,2
2023-09-07 00:00:00,2023-09-07,0,2065,0,32.8,0,2097.8,63.95731707,0
2023-09-08 00:00:00,2023-09-08,0,4935,0,1967.2,0,6902.2,3.508641724,3.508641724
2023-09-09 00:00:00,2023-09-09,0,1000,1000,0,1000,1000,2,2
2023-09-10 00:00:00,2023-09-10,0,4000,0,2000,0,6000,3,3
2023-09-11 00:00:00,2023-09-11,0,3000,0,0,0,3000,#DIV/0!,#DIV/0!
2023-09-12 00:00:00,2023-09-12,0,4000,0,2000,0,6000,3,3
2023-09-13 00:00:00,2023-09-13,0,4000,1000,1000,1000,5000,3,3
2023-09-14 00:00:00,2023-09-14,0,4000,0,2000,0,6000,3,3
